Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0,
2023/08/24 11:47:28.000,,,-32.35546875,
2023/08/24 11:47:32.000,,,-32.3486328125,
2023/08/24 10:24:08.000,,,-33.2783203125,
2023/08/24 10:24:10.000,,,-33.2734375,
2023/08/24 10:29:38.000,,,-32.7763671875,
2023/08/24 10:29:41.000,,,-32.7978515625,
2023/08/24 10:29:45.000,,,-32.814453125,
2023/08/24 10:36:32.000,,,-33.0908203125,
2023/08/24 10:36:36.000,,,-33.0517578125,
2023/08/24 10:36:38.000,,,-33.04296875,
2023/08/24 10:36:40.000,,,-33.0302734375,
2023/08/24 10:41:39.000,,,-32.2666015625,
2023/08/24 10:41:41.000,,,-32.2587890625,
2023/08/24 10:41:48.000,,,-32.291015625,
2023/08/24 10:41:50.000,,,-32.3173828125,
2023/08/24 10:47:10.000,,,-32.9638671875,
2023/08/24 10:47:12.000,,,-32.951171875,
2023/08/24 10:47:16.000,,,-32.9267578125,
2023/08/24 10:47:18.000,,,-32.90625,
2023/08/24 10:47:26.000,,,-32.802734375,
2023/08/24 10:52:22.000,,,-32.30078125,
2023/08/24 10:52:25.000,,,-32.326171875,
2023/08/24 10:52:28.000,,,-32.330078125,
2023/08/24 10:52:31.000,,,-32.3681640625,
2023/08/24 10:52:33.000,,,-32.396484375,
2023/08/24 10:52:37.000,,,-32.4140625,
2023/08/24 10:57:38.000,,,-32.2685546875,
2023/08/24 10:57:48.000,,,-32.271484375,
2023/08/24 11:02:38.000,,,-33.0576171875,
2023/08/24 11:02:41.000,,,-33.0595703125,
2023/08/24 11:02:50.000,,,-33.04296875,
2023/08/24 11:07:44.000,,,-32.388671875,
2023/08/24 11:07:47.000,,,-32.4306640625,
2023/08/24 11:07:50.000,,,-32.4384765625,
2023/08/24 11:08:00.000,,,-32.548828125,
2023/08/24 11:12:41.000,,,-32.4091796875,
2023/08/24 11:12:54.000,,,-32.3818359375,
2023/08/24 11:12:56.000,,,-32.3916015625,
2023/08/24 11:12:59.000,,,-32.4404296875,
2023/08/24 11:18:04.000,,,-32.935546875,
2023/08/24 11:18:14.000,,,-32.9765625,
2023/08/24 11:23:10.000,,,-32.6025390625,
2023/08/24 11:23:12.000,,,-32.546875,
2023/08/24 11:23:14.000,,,-32.5224609375,
2023/08/24 11:23:16.000,,,-32.5,
2023/08/24 11:23:26.000,,,-32.4111328125,
2023/08/24 10:18:54.000,,,-32.412109375,
2023/08/24 10:18:56.000,,,-32.4111328125,
2023/08/24 10:18:58.000,,,-32.443359375,
2023/08/24 10:24:24.000,,,-33.2431640625,
2023/08/24 10:24:26.000,,,-33.2509765625,
2023/08/24 10:24:34.000,,,-33.1455078125,
2023/08/24 11:25:04.000,,,-32.30078125,
2023/08/24 11:25:06.000,,,-32.33203125,
2023/08/24 11:25:09.000,,,-32.33984375,
2023/08/24 11:27:10.000,,,-32.8388671875,
2023/08/24 10:36:52.000,,,-32.92578125,
2023/08/24 10:37:02.000,,,-32.8876953125,
2023/08/24 10:41:58.000,,,-32.3427734375,
2023/08/24 10:42:02.000,,,-32.4052734375,
2023/08/24 10:42:06.000,,,-32.4541015625,
2023/08/24 10:42:08.000,,,-32.4580078125,
2023/08/24 10:42:10.000,,,-32.4755859375,
2023/08/24 10:52:42.000,,,-32.4677734375,
2023/08/24 10:52:44.000,,,-32.4814453125,
2023/08/24 10:52:52.000,,,-32.5048828125,
2023/08/24 10:57:58.000,,,-32.205078125,
2023/08/24 10:58:08.000,,,-32.1181640625,
2023/08/24 11:02:54.000,,,-33.052734375,
2023/08/24 11:03:00.000,,,-32.9208984375,
2023/08/24 11:08:02.000,,,-32.560546875,
2023/08/24 11:08:04.000,,,-32.5771484375,
2023/08/24 11:08:19.000,,,-32.6533203125,
2023/08/24 11:13:14.000,,,-32.5400390625,
2023/08/24 11:13:17.000,,,-32.5634765625,
2023/08/24 11:13:20.000,,,-32.5908203125,
2023/08/24 11:13:23.000,,,-32.5888671875,
2023/08/24 11:18:16.000,,,-32.98828125,
2023/08/24 11:18:24.000,,,-33.009765625,
2023/08/24 11:23:46.000,,,-32.501953125,
2023/08/24 10:14:08.000,,,-32.7392578125,
2023/08/24 10:19:14.000,,,-32.572265625,
2023/08/24 10:19:28.000,,,-32.673828125,
2023/08/24 10:19:30.000,,,-32.6806640625,
2023/08/24 10:24:56.000,,,-32.6494140625,
2023/08/24 11:25:20.000,,,-32.412109375,
2023/08/24 11:25:22.000,,,-32.4111328125,
2023/08/24 11:25:24.000,,,-32.4248046875,
2023/08/24 11:25:26.000,,,-32.4384765625,
2023/08/24 11:25:34.000,,,-32.4853515625,
2023/08/24 11:27:49.000,,,-32.7314453125,
2023/08/24 11:27:52.000,,,-32.6748046875,
2023/08/24 11:27:55.000,,,-32.638671875,
2023/08/24 11:33:32.000,,,-31.775390625,
2023/08/24 11:33:34.000,,,-31.77734375,
2023/08/24 11:33:36.000,,,-31.7880859375,
2023/08/24 11:33:39.000,,,-31.810546875,
2023/08/24 11:33:42.000,,,-31.8388671875,
2023/08/24 11:33:44.000,,,-31.8408203125,
2023/08/24 11:33:46.000,,,-31.87109375,
2023/08/24 10:37:06.000,,,-32.931640625,
2023/08/24 10:37:08.000,,,-32.92578125,
2023/08/24 10:37:10.000,,,-32.931640625,
2023/08/24 10:42:26.000,,,-32.5458984375,
2023/08/24 10:47:48.000,,,-32.3173828125,
2023/08/24 10:47:50.000,,,-32.2998046875,
2023/08/24 10:47:52.000,,,-32.2626953125,
2023/08/24 10:47:56.000,,,-32.2060546875,
2023/08/24 10:47:58.000,,,-32.1982421875,
2023/08/24 10:52:54.000,,,-32.5302734375,
2023/08/24 10:52:58.000,,,-32.5625,
2023/08/24 10:53:00.000,,,-32.5546875,
2023/08/24 10:53:02.000,,,-32.5625,
2023/08/24 10:58:18.000,,,-32.0634765625,
2023/08/24 10:58:28.000,,,-32.1103515625,
2023/08/24 11:08:20.000,,,-32.6708984375,
2023/08/24 11:08:22.000,,,-32.6787109375,
2023/08/24 11:08:28.000,,,-32.693359375,
2023/08/24 11:13:25.000,,,-32.6044921875,
2023/08/24 11:13:42.000,,,-32.43359375,
2023/08/24 11:18:36.000,,,-32.990234375,
2023/08/24 11:18:44.000,,,-32.9736328125,
2023/08/24 11:23:50.000,,,-32.5322265625,
2023/08/24 11:23:58.000,,,-32.595703125,
2023/08/24 11:24:00.000,,,-32.6005859375,
2023/08/24 10:25:00.000,,,-32.5458984375,
2023/08/24 10:25:04.000,,,-32.4755859375,
2023/08/24 10:25:06.000,,,-32.470703125,
2023/08/24 10:25:08.000,,,-32.447265625,
2023/08/24 11:25:40.000,,,-32.4990234375,
2023/08/24 11:25:42.000,,,-32.509765625,
